key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"zahria:mass","Zahria","Mass Drain","massDrainBleed","2","314","42.7","10.54","6.43","0","0","15.04","0","269"
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","3541","51","9.14","0","0.01","0","9.15","0","2014"
"kahro:assassinate","Kahro","Assassinate","attack","2","4802","67.1","5.3","0","0","0","5.3","0","2514"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","4576","46.7","5.01","0","0","0","5.01","0","3076"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","1279","56.1","4.88","0","0","0","4.88","0","485"
"yaura:price","Yaura","Blood Price","attack","1","2305","46.1","4.35","0","0.31","0","4.55","6.7","1051"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","7223","66.1","4.43","0","0.03","0","4.45","0","3296"
"zahria:blade","Zahria","Blood Blade","attack","2","2231","50.1","4.21","0","0.01","0","4.21","0","1116"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","6552","57.5","4","0","0.01","0","4.01","0","2724"
"kku:break","K'ku","Glacier Break","attack","2","2663","39.7","3.26","0","0.03","0","3.28","0","1393"
"poom:bodyguard","Poom","Revenge Body","revenge","2","3696","48.7","3.19","0","0.06","0","3.23","3.1","1301"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","3441","43.5","2.07","0","1.76","0","3.21","0","2123"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","5333","60.6","3.05","0","0.01","0","3.05","0","2023"
"bakub:toxin","Bakub","Mind Toxin","attack","1","2195","71.7","3.01","0","0","0","3.01","0","827"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","2694","34.5","2.26","0.95","0","0","2.93","0","2027"
"kahro:needle","Kahro","Shadow Needle","attack","1","1638","75.9","2.87","0","0","0","2.87","0","525"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","5815","56.5","0","0","4.29","0","2.79","0","2274"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","3596","49.6","0","0","4.17","0","2.71","0","1665"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","1207","43.3","2.2","0.56","0.1","0","2.65","0","723"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","1837","57.5","2.45","0","0.02","0","2.47","0","730"
"poom:bash","Poom","Bash","attack","1","5346","53.4","2.4","0","0.02","0","2.42","0","1788"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","5141","54.5","0","0","3.63","0","2.36","0","3160"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","3605","35.4","0","0","3.59","0","2.33","0","1691"
"hope:mend","Hope","Mend Wounds","singleHeal","1","4471","60.4","0","3.32","0","0","2.32","0","1842"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","4254","45.8","2.09","0","0.02","0","2.1","0","2541"
"kku:slam","K'ku","Frost Slam","damageStatusOnHit","1","4932","38.2","1.61","0","0.53","0","1.95","0","2171"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","4915","65.9","0","0","3","0","1.95","0","1993"
"maoja:grip","Maoja","Corrosive Grip","attack","1","4476","56.6","1.79","0","0.01","0","1.8","0","1608"
"yaura:rain","Yaura","Red Rain","allStatus","1","1936","37.6","0","0","2.68","0","1.74","0","1065"
"zahria:rain","Zahria","Red Rain","allStatus","1","2803","44","0","0","2.55","0","1.66","0","1718"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","3524","58.3","0","0","2.41","0","1.57","0","1892"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","4193","46.1","0.95","0","0.81","0","1.48","0","2667"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","505","71.9","0","0","2.17","0","1.41","0","159"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","916","59.1","1.31","0","0.01","0","1.32","0","349"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","56","73.2","0","0","1.96","0","1.28","0","12"
