character,opponent,games,winRate
"yaura","maoja","67","10.4"
"maoja","yaura","67","89.6"
"shaman","yaura","51","82.4"
"yaura","shaman","51","17.6"
"smithen","yaura","69","81.2"
"yaura","smithen","69","18.8"
"yaura","kahro","66","19.7"
"kahro","yaura","66","80.3"
"hyafrost","yaura","57","78.9"
"yaura","hyafrost","57","21.1"
"yaura","eva","60","21.7"
"eva","yaura","60","78.3"
"yaura","poom","76","23.7"
"poom","yaura","76","76.3"
"bakub","maoja","52","25"
"dravain","yaura","60","75"
"maoja","bakub","52","75"
"yaura","dravain","60","25"
"yaura","paleya","72","26.4"
"paleya","yaura","72","73.6"
"yaura","bakub","64","29.7"
"bakub","yaura","64","70.3"
"yaura","kku","69","30.4"
"kku","yaura","69","69.6"
"poom","bakub","78","69.2"
"bakub","poom","78","30.8"
"kahro","bakub","57","68.4"
"bakub","kahro","57","31.6"
"bakub","smithen","60","31.7"
"smithen","bakub","60","68.3"
"poom","shaman","64","67.2"
"shaman","poom","64","32.8"
"kku","smithen","66","33.3"
"smithen","kku","66","66.7"
