type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9.15, used 597, win 50.9%"
"dead-ability","Bahl — Dark Proliferation","only 6 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1, used 1350, win 53.4%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.96, used 640, win 47.7%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 123, win 13.8%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 567, win 69.1%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.59, used 628, win 48.1%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.58, used 494, win 46.4%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 470, win 20.6%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 193, win 53.9%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 763, win 18.7%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1384, win 52%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 651, win 50.1%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 624, win 34.3%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 239, win 51.5%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 243, win 61.7%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 334, win 47.6%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 351, win 37.6%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 340, win 50.3%"
"ability-too-weak","Bakub — False Future","avg value 0, used 164, win 37.2%"
"matchup-weak","yaura vs maoja","10.4% over 67 games"
"matchup-dominant","maoja vs yaura","89.6% over 67 games"
"matchup-dominant","shaman vs yaura","82.4% over 51 games"
"matchup-weak","yaura vs shaman","17.6% over 51 games"
"matchup-dominant","smithen vs yaura","81.2% over 69 games"
"matchup-weak","yaura vs smithen","18.8% over 69 games"
"matchup-weak","yaura vs kahro","19.7% over 66 games"
"matchup-dominant","kahro vs yaura","80.3% over 66 games"
"matchup-dominant","hyafrost vs yaura","78.9% over 57 games"
"matchup-weak","yaura vs hyafrost","21.1% over 57 games"
"matchup-weak","yaura vs eva","21.7% over 60 games"
"matchup-dominant","eva vs yaura","78.3% over 60 games"
"matchup-weak","yaura vs poom","23.7% over 76 games"
"matchup-dominant","poom vs yaura","76.3% over 76 games"
"matchup-weak","bakub vs maoja","25% over 52 games"
"matchup-dominant","dravain vs yaura","75% over 60 games"
"matchup-dominant","maoja vs bakub","75% over 52 games"
"matchup-weak","yaura vs dravain","25% over 60 games"
"matchup-weak","yaura vs paleya","26.4% over 72 games"
"matchup-dominant","paleya vs yaura","73.6% over 72 games"
"matchup-weak","yaura vs bakub","29.7% over 64 games"
"matchup-dominant","bakub vs yaura","70.3% over 64 games"
"matchup-weak","yaura vs kku","30.4% over 69 games"
"matchup-dominant","kku vs yaura","69.6% over 69 games"
"matchup-dominant","poom vs bakub","69.2% over 78 games"
"matchup-weak","bakub vs poom","30.8% over 78 games"
"matchup-dominant","kahro vs bakub","68.4% over 57 games"
"matchup-weak","bakub vs kahro","31.6% over 57 games"
"matchup-weak","bakub vs smithen","31.7% over 60 games"
"matchup-dominant","smithen vs bakub","68.3% over 60 games"
"matchup-dominant","poom vs shaman","67.2% over 64 games"
"matchup-weak","shaman vs poom","32.8% over 64 games"
"matchup-weak","kku vs smithen","33.3% over 66 games"
"matchup-dominant","smithen vs kku","66.7% over 66 games"
