key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","691","56.6","8.97","0","0","0","8.97","0","406"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","745","54.8","5.54","0","0","0","5.54","0","421"
"kahro:assassinate","Kahro","Assassinate","attack","2","577","56.7","4.55","0","0","0","4.55","0","372"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","454","48.2","4.07","0.35","0","0","4.31","0","334"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","1109","51","3.61","0","0","0","3.61","0","605"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","1388","48","3.51","0","0.01","0","3.52","0","831"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","268","54.5","3.28","0","0","0","3.28","0","127"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","689","46.6","2.08","0","1.8","0","3.25","0","406"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","1744","30.8","3.22","0","0.01","0","3.23","4.6","761"
"bakub:toxin","Bakub","Mind Toxin","attack","1","436","68.6","3.15","0","0","0","3.15","0","188"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","787","61.1","2.91","0","0.01","0","2.92","0","361"
"kku:slam","K'ku","Frost Slam","damageStatus","1","1068","51.6","2.37","0","0.74","0","2.86","0","401"
"kku:break","K'ku","Glacier Break","attack","2","426","52.3","2.75","0","0","0","2.75","0","164"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","884","56.4","0","0","4.17","0","2.71","0","341"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","816","55.3","0","0","4.14","0","2.69","0","375"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","845","52.9","0","0","3.73","0","2.42","0","509"
"poom:bash","Poom","Bash","attack","1","1389","58.7","2.32","0","0.02","0","2.33","0","454"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","471","48.8","0","0","3.55","0","2.31","0","208"
"kahro:needle","Kahro","Shadow Needle","attack","1","223","65","2.3","0","0","0","2.3","0","114"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","105","52.4","1.7","0.66","0.06","0","2.2","0","61"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","268","56","2.13","0","0.01","0","2.14","0","96"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","570","57.2","1.75","0","0.56","0","2.12","0","295"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","894","49.3","2.04","0","0.02","0","2.06","0","530"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","1064","51.8","0","0","3","0","1.95","0","596"
"maoja:grip","Maoja","Corrosive Grip","attack","1","742","55","1.7","0","0.02","0","1.71","0","250"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","695","54.4","0","0","2.45","0","1.59","0","378"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","455","42.4","0","0","2.36","0","1.54","0","238"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","85","56.5","0","0","2.12","0","1.38","0","40"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","14","42.9","0","0","2.07","0","1.35","0","8"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","446","55.4","1.28","0","0.05","0","1.32","0","212"
"poom:bodyguard","Poom","Revenge Body","attack","2","417","58.5","1.31","0","0.02","0","1.32","0","133"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","1359","45.6","0","0","1.54","0","1","0","930"
"yaura:rain","Yaura","Red Rain","status","2","104","30.8","0","0","1","0","0.65","0","42"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","658","53.3","0","0","0.95","0","0.62","0","303"
"smithen:pin","Smithen","Frost Pin","whiteout","1","572","54.7","0","0","0.92","0","0.6","0","306"
"paleya:mesmer","Paleya","Mesmerize","status","1","447","43.8","0","0","0.93","0","0.6","0","213"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","641","30.7","0","0","0","0","0","3","297"
"smithen:flash","Smithen","Whiteout Step","dodge","1","224","50","0","0","0","0","0","0","121"
"dravain:protect","Dravain","Protect Ally","protect","1","1458","51.6","0","0","0","0","0","0","739"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","453","30.9","0","0","0","0","0","0","193"
"kku:guard","K'ku","Ice Guard","selfCounter","1","575","39.1","0","0","0","0","0","0","314"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","363","52.9","0","0","0","0","0","0","191"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","588","48","0","0","0","0","0","0","285"
"bakub:future","Bakub","False Future","dodge","1","158","47.5","0","0","0","0","0","0","86"
"maoja:hands","Maoja","Poison Hands","utility","1","227","59","0","0","0","0","0","0","70"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","304","40.5","0","0","0","0","0","0","178"
"eva:mist","Lady Eva","Mist Step","dodge","1","410","43.4","0","0","0","0","0","0","261"
"kahro:vanish","Kahro","Vanish","dodge","1","304","38.2","0","0","0","0","0","0","224"
