key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","615","48.1","8.87","0","0","0","8.87","0","374"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","742","62.3","5.7","0","0","0","5.7","0","482"
"kahro:assassinate","Kahro","Assassinate","attack","2","555","62.5","4.49","0","0","0","4.49","0","327"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","389","64","4.07","0.38","0","0","4.34","0","293"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","1089","55.4","3.83","0","0.01","0","3.84","0","528"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","1301","54.2","3.57","0","0","0","3.57","0","697"
"bakub:toxin","Bakub","Mind Toxin","attack","1","355","71.8","3.41","0","0","0","3.41","0","186"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","287","48.4","3.34","0","0","0","3.34","0","137"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","583","52.7","2.17","0","1.77","0","3.32","0","382"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","1836","32.7","3.24","0","0.01","0","3.25","4.6","803"
"kku:break","K'ku","Glacier Break","attack","2","445","55.1","2.9","0","0.03","0","2.92","0","187"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","972","61.3","2.81","0","0","0","2.82","0","438"
"kku:slam","K'ku","Frost Slam","damageStatus","1","1066","58.6","2.29","0","0.75","0","2.77","0","386"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1016","55.4","0","0","4.14","0","2.69","0","324"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","726","45.2","0","0","4.06","0","2.64","0","366"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","889","48.6","0","0","3.73","0","2.42","0","574"
"poom:bash","Poom","Bash","attack","1","1489","51","2.27","0","0.02","0","2.28","0","490"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","502","50.4","0","0","3.51","0","2.28","0","201"
"kahro:needle","Kahro","Shadow Needle","attack","1","208","70.7","2.21","0","0","0","2.21","0","73"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","80","40","1.81","0.53","0.04","0","2.2","0","44"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","566","58.1","1.75","0","0.64","0","2.16","0","327"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","714","59.7","2.1","0","0.01","0","2.11","0","452"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","308","49.4","2.1","0","0.01","0","2.1","0","117"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","1115","55.4","0","0","3","0","1.95","0","551"
"maoja:grip","Maoja","Corrosive Grip","attack","1","820","54.4","1.72","0","0.02","0","1.73","0","241"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","464","52.6","0","0","2.46","0","1.6","0","214"
"poom:bodyguard","Poom","Revenge Body","attack","2","472","46.2","1.39","0","0.01","0","1.4","0","170"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","97","58.8","0","0","2.12","0","1.38","0","50"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","535","58.5","1.2","0","0.03","0","1.22","0","273"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","8","75","0","0","1.88","0","1.22","0","4"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","1287","48.3","0","0","1.57","0","1.02","0","855"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","558","47.5","0","0","1.45","0","0.94","0","357"
"yaura:rain","Yaura","Red Rain","status","2","122","34.4","0","0","1","0","0.65","0","38"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","595","44.2","0","0","0.94","0","0.61","0","325"
"paleya:mesmer","Paleya","Mesmerize","status","1","453","54.5","0","0","0.91","0","0.59","0","188"
"smithen:pin","Smithen","Frost Pin","whiteout","1","556","55.2","0","0","0.9","0","0.58","0","351"
"maoja:hands","Maoja","Poison Hands","utility","1","232","55.6","0","0","0","0","0","0","62"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","686","32.1","0","0","0","0","0","3.8","295"
"bakub:future","Bakub","False Future","dodge","1","179","43.6","0","0","0","0","0","0","113"
"dravain:protect","Dravain","Protect Ally","protect","1","1672","47.8","0","0","0","0","0","0","929"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","629","43.2","0","0","0","0","0","0","304"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","361","35.7","0","0","0","0","0","0","212"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","266","44.7","0","0","0","0","0","0","131"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","412","39.1","0","0","0","0","0","0","174"
"kku:guard","K'ku","Ice Guard","selfCounter","1","519","44.3","0","0","0","0","0","0","263"
"smithen:flash","Smithen","Whiteout Step","dodge","1","309","48.2","0","0","0","0","0","0","206"
"eva:mist","Lady Eva","Mist Step","dodge","1","400","59.5","0","0","0","0","0","0","282"
"kahro:vanish","Kahro","Vanish","dodge","1","245","42.4","0","0","0","0","0","0","173"
