key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","813","51.2","8.95","0","0","0","8.95","0","481"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","1190","65.4","5.48","0","0","0","5.48","0","736"
"kahro:assassinate","Kahro","Assassinate","attack","2","774","53.7","4.53","0","0","0","4.53","0","494"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","554","51.6","3.97","0.36","0","0","4.23","0","403"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","1728","48.2","3.59","0","0.01","0","3.59","0","902"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","381","57.7","3.55","0","0","0","3.55","0","191"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","1663","48.5","3.41","0","0.01","0","3.42","0","902"
"bakub:toxin","Bakub","Mind Toxin","attack","1","617","68.1","3.27","0","0.01","0","3.28","0","274"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","915","49","2.12","0","1.75","0","3.25","0","554"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","2744","30.6","3.17","0","0.02","0","3.18","4","1198"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","1180","58.9","2.94","0","0.01","0","2.94","0","562"
"kku:break","K'ku","Glacier Break","attack","2","630","47.9","2.91","0","0.03","0","2.93","0","273"
"kku:slam","K'ku","Frost Slam","damageStatus","1","1621","45.5","2.35","0","0.75","0","2.84","0","618"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1262","56.7","0","0","4.12","0","2.68","0","400"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","950","51.5","0","0","4.07","0","2.65","0","433"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","1255","57.1","0","0","3.75","0","2.44","0","774"
"kahro:needle","Kahro","Shadow Needle","attack","1","289","60.2","2.34","0","0","0","2.34","0","145"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","685","43.9","0","0","3.52","0","2.29","0","289"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","416","57.9","2.23","0","0.01","0","2.24","0","143"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","851","63.9","1.81","0","0.61","0","2.2","0","497"
"poom:bash","Poom","Bash","attack","1","1938","60.9","2.18","0","0.01","0","2.19","0","751"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","1192","51.8","2.09","0","0.01","0","2.1","0","738"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","137","54","1.67","0.5","0.08","0","2.07","0","80"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","1242","56.4","0","0","3","0","1.95","0","641"
"maoja:grip","Maoja","Corrosive Grip","attack","1","1049","54.4","1.68","0","0","0","1.68","0","338"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","914","56.8","0","0","2.46","0","1.6","0","522"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","678","46","0","0","2.42","0","1.58","0","356"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","7","57.1","0","0","2.43","0","1.58","0","2"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","114","64","0","0","2.18","0","1.41","0","42"
"poom:bodyguard","Poom","Revenge Body","attack","2","590","58","1.29","0","0.01","0","1.29","0","225"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","637","53.7","1.22","0","0.02","0","1.23","0","318"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","1686","49.5","0","0","1.57","0","1.02","0","1120"
"yaura:rain","Yaura","Red Rain","status","2","190","34.2","0","0","1","0","0.65","0","73"
"paleya:mesmer","Paleya","Mesmerize","status","1","588","43","0","0","0.91","0","0.59","0","281"
"smithen:pin","Smithen","Frost Pin","whiteout","1","898","65.8","0","0","0.92","0","0.59","0","518"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","784","49.2","0","0","0.91","0","0.59","0","361"
"kku:guard","K'ku","Ice Guard","selfCounter","1","852","34.6","0","0","0","0","0","0","449"
"eva:mist","Lady Eva","Mist Step","dodge","1","533","45.4","0","0","0","0","0","0","349"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","651","31.3","0","0","0","0","0","0","295"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","1037","27.9","0","0","0","0","0","4.7","494"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","758","45.9","0","0","0","0","0","0","359"
"kahro:vanish","Kahro","Vanish","dodge","1","381","42.8","0","0","0","0","0","0","287"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","381","43","0","0","0","0","0","0","205"
"dravain:protect","Dravain","Protect Ally","protect","1","2181","47.1","0","0","0","0","0","0","1188"
"smithen:flash","Smithen","Whiteout Step","dodge","1","394","58.4","0","0","0","0","0","0","236"
"bakub:future","Bakub","False Future","dodge","1","235","51.9","0","0","0","0","0","0","158"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","440","46.4","0","0","0","0","0","0","226"
"maoja:hands","Maoja","Poison Hands","utility","1","316","60.1","0","0","0","0","0","0","79"
