character,opponent,games,winRate
"smithen","yaura","104","76.9"
"yaura","smithen","104","23.1"
"yaura","dravain","97","24.7"
"dravain","yaura","97","75.3"
"yaura","kahro","84","26.2"
"kahro","yaura","84","73.8"
"yaura","maoja","85","29.4"
"maoja","yaura","85","70.6"
"yaura","shaman","87","29.9"
"shaman","yaura","87","70.1"
"bakub","yaura","97","68"
"yaura","bakub","97","32"
"dravain","paleya","89","67.4"
"kku","yaura","86","67.4"
"paleya","dravain","89","32.6"
"yaura","kku","86","32.6"
"eva","smithen","89","34.8"
"smithen","eva","89","65.2"
