type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.95, used 813, win 51.2%"
"dead-ability","Bahl — Dark Proliferation","only 7 uses"
"ability-too-weak","Dravain — Vampiric Thrust","avg value 1.23, used 637, win 53.7%"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.02, used 1686, win 49.5%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 190, win 34.2%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.59, used 588, win 43%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.59, used 898, win 65.8%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.59, used 784, win 49.2%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 852, win 34.6%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 533, win 45.4%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 651, win 31.3%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 1037, win 27.9%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 758, win 45.9%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 381, win 42.8%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 381, win 43%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 2181, win 47.1%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 394, win 58.4%"
"ability-too-weak","Bakub — False Future","avg value 0, used 235, win 51.9%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 440, win 46.4%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 316, win 60.1%"
"matchup-dominant","smithen vs yaura","76.9% over 104 games"
"matchup-weak","yaura vs smithen","23.1% over 104 games"
"matchup-weak","yaura vs dravain","24.7% over 97 games"
"matchup-dominant","dravain vs yaura","75.3% over 97 games"
"matchup-weak","yaura vs kahro","26.2% over 84 games"
"matchup-dominant","kahro vs yaura","73.8% over 84 games"
"matchup-weak","yaura vs maoja","29.4% over 85 games"
"matchup-dominant","maoja vs yaura","70.6% over 85 games"
"matchup-weak","yaura vs shaman","29.9% over 87 games"
"matchup-dominant","shaman vs yaura","70.1% over 87 games"
"matchup-dominant","bakub vs yaura","68% over 97 games"
"matchup-weak","yaura vs bakub","32% over 97 games"
"matchup-dominant","dravain vs paleya","67.4% over 89 games"
"matchup-dominant","kku vs yaura","67.4% over 86 games"
"matchup-weak","paleya vs dravain","32.6% over 89 games"
"matchup-weak","yaura vs kku","32.6% over 86 games"
"matchup-weak","eva vs smithen","34.8% over 89 games"
"matchup-dominant","smithen vs eva","65.2% over 89 games"
