character,opponent,games,winRate
"yaura","smithen","64","21.9"
"smithen","yaura","64","78.1"
"yaura","kahro","67","22.4"
"kahro","yaura","67","77.6"
"yaura","bakub","58","25.9"
"bakub","yaura","58","74.1"
"hyafrost","yaura","70","72.9"
"yaura","hyafrost","70","27.1"
"dravain","yaura","70","71.4"
"yaura","dravain","70","28.6"
"yaura","maoja","56","30.4"
"maoja","yaura","56","69.6"
"kku","yaura","62","69.4"
"yaura","kku","62","30.6"
"poom","yaura","64","67.2"
"yaura","poom","64","32.8"
"shaman","yaura","66","66.7"
"yaura","shaman","66","33.3"
