type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.87, used 615, win 48.1%"
"ability-too-weak","Dravain — Vampiric Thrust","avg value 1.22, used 535, win 58.5%"
"dead-ability","Bahl — Dark Proliferation","only 8 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.02, used 1287, win 48.3%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.94, used 558, win 47.5%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 122, win 34.4%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 595, win 44.2%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.59, used 453, win 54.5%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.58, used 556, win 55.2%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 232, win 55.6%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 686, win 32.1%"
"ability-too-weak","Bakub — False Future","avg value 0, used 179, win 43.6%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1672, win 47.8%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 629, win 43.2%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 361, win 35.7%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 266, win 44.7%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 412, win 39.1%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 519, win 44.3%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 309, win 48.2%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 400, win 59.5%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 245, win 42.4%"
"matchup-weak","yaura vs smithen","21.9% over 64 games"
"matchup-dominant","smithen vs yaura","78.1% over 64 games"
"matchup-weak","yaura vs kahro","22.4% over 67 games"
"matchup-dominant","kahro vs yaura","77.6% over 67 games"
"matchup-weak","yaura vs bakub","25.9% over 58 games"
"matchup-dominant","bakub vs yaura","74.1% over 58 games"
"matchup-dominant","hyafrost vs yaura","72.9% over 70 games"
"matchup-weak","yaura vs hyafrost","27.1% over 70 games"
"matchup-dominant","dravain vs yaura","71.4% over 70 games"
"matchup-weak","yaura vs dravain","28.6% over 70 games"
"matchup-weak","yaura vs maoja","30.4% over 56 games"
"matchup-dominant","maoja vs yaura","69.6% over 56 games"
"matchup-dominant","kku vs yaura","69.4% over 62 games"
"matchup-weak","yaura vs kku","30.6% over 62 games"
"matchup-dominant","poom vs yaura","67.2% over 64 games"
"matchup-weak","yaura vs poom","32.8% over 64 games"
"matchup-dominant","shaman vs yaura","66.7% over 66 games"
"matchup-weak","yaura vs shaman","33.3% over 66 games"
