character,opponent,games,winRate
"shaman","yaura","51","86.3"
"yaura","shaman","51","13.7"
"smithen","yaura","47","80.9"
"yaura","smithen","47","19.1"
"kahro","yaura","40","80"
"yaura","kahro","40","20"
"dravain","yaura","34","73.5"
"kahro","kku","34","73.5"
"kku","kahro","34","26.5"
"yaura","dravain","34","26.5"
"maoja","kku","41","73.2"
"kku","maoja","41","26.8"
"poom","yaura","50","72"
"yaura","poom","50","28"
"kahro","bakub","32","71.9"
"bakub","kahro","32","28.1"
"shaman","dravain","28","71.4"
"dravain","shaman","28","28.6"
"kku","shaman","34","29.4"
"shaman","kku","34","70.6"
"shaman","kahro","33","69.7"
"kahro","shaman","33","30.3"
"eva","yaura","36","69.4"
"yaura","eva","36","30.6"
"maoja","yaura","45","68.9"
"yaura","maoja","45","31.1"
"paleya","smithen","35","31.4"
"smithen","paleya","35","68.6"
"hyafrost","yaura","44","68.2"
"yaura","hyafrost","44","31.8"
"hyafrost","kahro","37","32.4"
"kahro","hyafrost","37","67.6"
"bakub","shaman","45","33.3"
"poom","smithen","33","33.3"
"shaman","bakub","45","66.7"
"smithen","poom","33","66.7"
"shaman","eva","41","65.9"
"smithen","maoja","41","65.9"
"eva","shaman","41","34.1"
"maoja","smithen","41","34.1"
"eva","paleya","29","65.5"
"paleya","eva","29","34.5"
