key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","1167","45.2","9.02","0","0","0","9.02","0","705"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","1427","60.2","5.52","0","0","0","5.52","0","903"
"kahro:assassinate","Kahro","Assassinate","attack","2","1120","66.7","4.52","0","0","0","4.52","0","645"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","472","52.5","4.4","0","0","0","4.41","0","233"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","648","65.1","4.09","0.37","0","0","4.35","0","448"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","1225","64.7","3.02","0","1.71","0","4.14","0","698"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","2272","41.9","3.5","0","0","0","3.51","0","1360"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","2454","51.3","3.49","0","0","0","3.49","0","1454"
"bakub:toxin","Bakub","Mind Toxin","attack","1","694","52.7","3.21","0","0","0","3.21","0","327"
"kahro:needle","Kahro","Shadow Needle","attack","1","616","72.2","3.15","0","0","0","3.15","0","276"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","2885","64.9","3.06","0","0.01","0","3.07","0","1269"
"poom:bodyguard","Poom","Revenge Body","attack","2","1355","59.9","3.04","0","0.01","0","3.04","0","460"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","1752","68.6","2.94","0","0.01","0","2.95","0","999"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","3896","34.3","2.94","0","0.01","0","2.94","2.4","1553"
"kku:break","K'ku","Glacier Break","attack","2","791","47.2","2.86","0","0.02","0","2.87","0","374"
"kku:slam","K'ku","Frost Slam","damageStatus","1","2273","53.1","2.27","0","0.75","0","2.76","0","879"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","2023","50","0","0","4.2","0","2.73","0","832"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","1335","43.9","0","0","4.15","0","2.7","0","641"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","1635","43.2","0","0","3.71","0","2.41","0","1076"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","975","44.5","0","0","3.53","0","2.29","0","438"
"poom:bash","Poom","Bash","attack","1","2130","59.3","2.22","0","0.01","0","2.22","0","694"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","602","49.3","2.2","0","0","0","2.2","0","246"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","1037","60.1","1.78","0","0.63","0","2.19","0","592"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","160","51.9","1.53","0.6","0.02","0","1.96","0","74"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","1966","54.5","0","0","3","0","1.95","0","1097"
"maoja:grip","Maoja","Corrosive Grip","attack","1","1622","54.1","1.71","0","0.01","0","1.71","0","620"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","692","41.5","0","0","2.28","0","1.48","0","390"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","13","69.2","0","0","2.15","0","1.4","0","7"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","161","62.1","0","0","2.07","0","1.35","0","67"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","633","62.4","1.34","0","0.02","0","1.35","0","278"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","2555","57.9","0","0","1.59","0","1.03","0","1717"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","1048","42.9","0","0","1.47","0","0.95","0","676"
"yaura:rain","Yaura","Red Rain","status","2","276","30.4","0","0","1","0","0.65","0","90"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","1129","41.9","0","0","0.95","0","0.62","0","578"
"smithen:pin","Smithen","Frost Pin","whiteout","1","1041","60.9","0","0","0.93","0","0.6","0","638"
"paleya:mesmer","Paleya","Mesmerize","status","1","1168","37.1","0","0","0.89","0","0.58","0","643"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","1449","32.2","0","0","0","0","0","4.4","581"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","1010","32.9","0","0","0","0","0","0","397"
"smithen:flash","Smithen","Whiteout Step","dodge","1","449","55.5","0","0","0","0","0","0","266"
"kku:guard","K'ku","Ice Guard","selfCounter","1","1112","35.3","0","0","0","0","0","0","647"
"dravain:protect","Dravain","Protect Ally","protect","2","1340","54","0","0","0","0","0","0","615"
"maoja:hands","Maoja","Poison Hands","utility","1","434","46.3","0","0","0","0","0","0","150"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","1066","45","0","0","0","0","0","0","490"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","583","32.1","0","0","0","0","0","0","371"
"kahro:vanish","Kahro","Vanish","dodge","1","479","53.7","0","0","0","0","0","0","385"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","628","40.4","0","0","0","0","0","0","353"
"eva:mist","Lady Eva","Mist Step","dodge","1","687","58.8","0","0","0","0","0","0","417"
"bakub:future","Bakub","False Future","dodge","1","332","44.6","0","0","0","0","0","0","208"
