character,opponent,games,winRate
"smithen","kahro","272","25.7"
"kahro","smithen","272","74.3"
"kahro","kku","283","72.4"
"kku","kahro","283","27.6"
"kahro","zahria","279","72"
"zahria","kahro","279","28"
"kku","shaman","288","28.5"
"shaman","kku","288","71.5"
"yaura","maoja","288","29.9"
"maoja","yaura","288","70.1"
"bakub","eva","265","68.7"
"eva","bakub","265","31.3"
"shaman","smithen","272","68.4"
"smithen","shaman","272","31.6"
"yaura","hope","281","31.7"
"hope","yaura","281","68.3"
"kahro","yaura","264","67.4"
"yaura","kahro","264","32.6"
"shaman","yaura","253","67.2"
"yaura","shaman","253","32.8"
"eva","maoja","275","33.8"
"kku","maoja","287","33.8"
"maoja","eva","275","66.2"
"maoja","kku","287","66.2"
"eva","shaman","280","34.3"
"shaman","eva","280","65.7"
"eva","kahro","282","34.4"
"kahro","eva","282","65.6"
"eva","hope","270","34.8"
"hope","eva","270","65.2"
"kku","paleya","250","34.8"
"paleya","kku","250","65.2"
"yaura","bakub","281","34.9"
"bakub","yaura","281","65.1"
"hope","smithen","303","65"
"smithen","hope","303","35"
