character,opponent,games,winRate
"bakub","eva","265","68.7"
"bakub","yaura","281","65.1"
"bakub","kku","283","64.7"
"bakub","zahria","272","61.4"
"bakub","smithen","263","59.3"
"bakub","hyafrost","257","56.8"
"bakub","dravain","255","56.5"
"bakub","hope","286","54.2"
"bakub","bakub","274","50"
"bakub","paleya","278","48.6"
"bakub","poom","265","47.9"
"bakub","kahro","279","47.3"
"bakub","maoja","285","43.2"
"bakub","shaman","249","39"
"dravain","kku","300","61.7"
"dravain","eva","277","60.3"
"dravain","yaura","278","60.1"
"dravain","zahria","278","58.6"
"dravain","smithen","324","57.1"
"dravain","hyafrost","278","50.7"
"dravain","dravain","290","50"
"dravain","poom","282","49.6"
"dravain","maoja","278","48.9"
"dravain","paleya","285","44.9"
"dravain","bakub","255","43.5"
"dravain","kahro","284","39.8"
"dravain","hope","285","39.3"
"dravain","shaman","275","36"
"eva","kku","266","54.9"
"eva","yaura","263","50.2"
"eva","eva","276","50"
"eva","hyafrost","253","45.8"
"eva","zahria","252","45.2"
"eva","smithen","281","44.8"
"eva","dravain","277","39.7"
"eva","paleya","268","39.2"
"eva","poom","275","38.9"
"eva","hope","270","34.8"
"eva","kahro","282","34.4"
"eva","shaman","280","34.3"
"eva","maoja","275","33.8"
"eva","bakub","265","31.3"
"hope","yaura","281","68.3"
"hope","eva","270","65.2"
"hope","smithen","303","65"
"hope","kku","275","64.4"
"hope","zahria","256","60.9"
"hope","dravain","285","60.7"
"hope","poom","272","59.6"
"hope","paleya","260","51.2"
"hope","hyafrost","271","50.6"
"hope","hope","262","50"
"hope","kahro","260","46.5"
"hope","bakub","286","45.8"
"hope","maoja","264","43.9"
"hope","shaman","271","39.5"
"hyafrost","yaura","229","63.3"
"hyafrost","kku","271","60.1"
"hyafrost","smithen","287","56.4"
"hyafrost","zahria","254","56.3"
"hyafrost","eva","253","54.2"
"hyafrost","hyafrost","274","50"
"hyafrost","hope","271","49.4"
"hyafrost","dravain","278","49.3"
"hyafrost","poom","269","44.2"
"hyafrost","bakub","257","43.2"
"hyafrost","maoja","279","43"
"hyafrost","kahro","285","41.8"
"hyafrost","paleya","253","41.5"
"hyafrost","shaman","242","36.8"
"kahro","smithen","272","74.3"
"kahro","kku","283","72.4"
"kahro","zahria","279","72"
"kahro","yaura","264","67.4"
"kahro","eva","282","65.6"
"kahro","poom","292","62.3"
"kahro","dravain","284","60.2"
"kahro","hyafrost","285","58.2"
"kahro","paleya","264","56.4"
"kahro","hope","260","53.5"
"kahro","bakub","279","52.7"
"kahro","maoja","291","52.6"
"kahro","shaman","265","51.3"
"kahro","kahro","300","50"
"kku","kku","270","50"
"kku","eva","266","45.1"
"kku","zahria","282","44.7"
"kku","yaura","284","44.4"
"kku","smithen","292","41.1"
"kku","hyafrost","271","39.9"
"kku","dravain","300","38.3"
"kku","hope","275","35.6"
"kku","bakub","283","35.3"
