character,oldAI,smartAI,skillDelta,classification,oldAvgDamage,smartAvgDamage,oldGuards,smartGuards
"Hyafrost","58.8","55.9","-2.9","too-strong-low-skill","27.69","26.64","1.09","0.52"
"Bakub","52.6","55","2.4","ok","9.64","11.83","2.29","1.22"
"Yaura","46.9","53.3","6.4","ok","25.74","26.36","2.02","1.36"
"Lady Eva","56.1","52.9","-3.2","ok","20.8","15.94","1.32","1.05"
"Kahro","51.6","52.8","1.2","ok","13.62","19.22","0","0"
"Poom","59.6","52.1","-7.5","too-strong-low-skill","34.97","32.84","2.4","1.34"
"Paleya","42.3","52","9.7","ok","16.66","24.07","2.33","0.59"
"Maoja","51.2","51.3","0.1","ok","14.29","15.74","0","0"
"Smithen","47.4","50.2","2.8","ok","20.32","20.46","1.04","0.72"
"K'ku","42.6","45.9","3.3","underpowered-even-smart","19.39","21.75","1.92","1.56"
"Dravain","39.9","40.3","0.4","underpowered-even-smart","11.8","7.27","4.11","4.28"
"Bahl","51.4","38.5","-12.9","ok","14.88","15.29","0","0"
