character,oldVsOld,smartVsSmart,smartPilotVsOldOpp,oldPilotVsSmartOpp,pilotSkillGainVsOldOpp,smartOpponentSuppression,smartOpponentPunishesOldPilot,label
"Maoja","46.8","54.4","72","35.1","25.2","17.6","11.7","farms-bad-opponents/counterable"
"Bahl","58.1","53.8","63.8","35.5","5.7","10","22.6","farms-bad-opponents/counterable"
"Dravain","59.3","53.8","64.3","38.8","5","10.5","20.5","farms-bad-opponents/counterable"
"Smithen","50.2","53.8","56.8","39.3","6.6","3","10.9","ok"
"Yaura","46.9","53.3","69.5","40.4","22.6","16.2","6.5","farms-bad-opponents/counterable"
"Paleya","45.7","52.1","63.5","30.2","17.8","11.4","15.5","farms-bad-opponents/counterable"
"Poom","51.6","50.4","65.9","34.1","14.3","15.5","17.5","farms-bad-opponents/counterable"
"K'ku","50","48.4","53.7","40.3","3.7","5.3","9.7","ok"
"Lady Eva","49.2","47.6","60.5","39.1","11.3","12.9","10.1","farms-bad-opponents/counterable"
"Bakub","56.9","44.6","65.9","41.8","9","21.3","15.1","farms-bad-opponents/counterable"
"Kahro","52.6","43.9","56.8","46.7","4.2","12.9","5.9","ok"
"Hyafrost","32.4","43.8","61.2","21.9","28.8","17.4","10.5","farms-bad-opponents/counterable"
