type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9.15, used 3541, win 51%"
"ability-too-weak","Paleya — Mass Suggestion","avg value 1.19, used 4879, win 53.7%"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.11, used 4709, win 61.8%"
"ability-too-weak","Hope — Hopeful Strike","avg value 0.79, used 498, win 68.1%"
"ability-too-weak","Zahria — Blood Mist","avg value 0.67, used 6675, win 42.6%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.61, used 2935, win 48.7%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.58, used 5559, win 46.5%"
"ability-too-weak","Yaura — Blood Ward","avg value 0.57, used 7490, win 32%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.52, used 1229, win 50.8%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 1454, win 49.8%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 2097, win 44%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 10354, win 44.8%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 2575, win 35.8%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 4808, win 38.5%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 3918, win 29.4%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 1385, win 46.9%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 1153, win 54.6%"
"ability-too-weak","Hope — Delayed Judgement","avg value 0, used 3049, win 64%"
"ability-too-weak","Hope — Blessing Shield","avg value 0, used 12807, win 50.5%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 1977, win 38.6%"
"ability-too-weak","Bakub — False Future","avg value 0, used 1904, win 45.4%"
"matchup-weak","smithen vs kahro","25.7% over 272 games"
"matchup-dominant","kahro vs smithen","74.3% over 272 games"
"matchup-dominant","kahro vs kku","72.4% over 283 games"
"matchup-weak","kku vs kahro","27.6% over 283 games"
"matchup-dominant","kahro vs zahria","72% over 279 games"
"matchup-weak","zahria vs kahro","28% over 279 games"
"matchup-weak","kku vs shaman","28.5% over 288 games"
"matchup-dominant","shaman vs kku","71.5% over 288 games"
"matchup-weak","yaura vs maoja","29.9% over 288 games"
"matchup-dominant","maoja vs yaura","70.1% over 288 games"
"matchup-dominant","bakub vs eva","68.7% over 265 games"
"matchup-weak","eva vs bakub","31.3% over 265 games"
"matchup-dominant","shaman vs smithen","68.4% over 272 games"
"matchup-weak","smithen vs shaman","31.6% over 272 games"
"matchup-weak","yaura vs hope","31.7% over 281 games"
"matchup-dominant","hope vs yaura","68.3% over 281 games"
"matchup-dominant","kahro vs yaura","67.4% over 264 games"
"matchup-weak","yaura vs kahro","32.6% over 264 games"
"matchup-dominant","shaman vs yaura","67.2% over 253 games"
"matchup-weak","yaura vs shaman","32.8% over 253 games"
"matchup-weak","eva vs maoja","33.8% over 275 games"
"matchup-weak","kku vs maoja","33.8% over 287 games"
"matchup-dominant","maoja vs eva","66.2% over 275 games"
"matchup-dominant","maoja vs kku","66.2% over 287 games"
"matchup-weak","eva vs shaman","34.3% over 280 games"
"matchup-dominant","shaman vs eva","65.7% over 280 games"
"matchup-weak","eva vs kahro","34.4% over 282 games"
"matchup-dominant","kahro vs eva","65.6% over 282 games"
"matchup-weak","eva vs hope","34.8% over 270 games"
"matchup-dominant","hope vs eva","65.2% over 270 games"
"matchup-weak","kku vs paleya","34.8% over 250 games"
"matchup-dominant","paleya vs kku","65.2% over 250 games"
"matchup-weak","yaura vs bakub","34.9% over 281 games"
"matchup-dominant","bakub vs yaura","65.1% over 281 games"
"matchup-dominant","hope vs smithen","65% over 303 games"
"matchup-weak","smithen vs hope","35% over 303 games"
