team,picks,winRate
"bakub+maoja+shaman","9","100"
"hope+kahro+paleya","17","94.1"
"bakub+kahro+paleya","15","93.3"
"bakub+dravain+kahro","13","92.3"
"maoja+shaman+yaura","12","91.7"
"kahro+poom+shaman","12","91.7"
"kahro+paleya+shaman","22","90.9"
"dravain+kahro+shaman","18","88.9"
"bakub+paleya+shaman","15","86.7"
"hope+kahro+poom","14","85.7"
"hyafrost+kahro+maoja","14","85.7"
"hope+maoja+paleya","21","85.7"
"hope+hyafrost+maoja","20","85"
"bakub+poom+shaman","13","84.6"
"bakub+hope+kahro","19","84.2"
"kahro+maoja+zahria","12","83.3"
"kahro+shaman+yaura","6","83.3"
"eva+kahro+shaman","11","81.8"
"bakub+hope+poom","11","81.8"
"bakub+paleya+yaura","16","81.3"
"hope+maoja+poom","16","81.3"
"bakub+maoja+poom","16","81.3"
"maoja+poom+shaman","16","81.3"
"bakub+maoja+paleya","21","81"
"bakub+shaman+yaura","20","80"
"dravain+kahro+maoja","10","80"
"bakub+kahro+shaman","10","80"
"bakub+hope+paleya","10","80"
"dravain+paleya+shaman","15","80"
"paleya+shaman+zahria","14","78.6"
"dravain+hope+kahro","23","78.3"
"hope+paleya+poom","18","77.8"
"kahro+maoja+shaman","22","77.3"
"hope+maoja+shaman","13","76.9"
"kahro+shaman+zahria","13","76.9"
"hope+kahro+smithen","17","76.5"
"dravain+kahro+paleya","20","75"
"kahro+maoja+paleya","16","75"
"bakub+dravain+shaman","16","75"
"bakub+shaman+zahria","20","75"
"eva+kahro+maoja","20","75"
"maoja+poom+zahria","19","73.7"
"hope+hyafrost+kahro","19","73.7"
"bakub+hope+maoja","15","73.3"
"eva+maoja+shaman","15","73.3"
"eva+hope+poom","15","73.3"
"dravain+eva+poom","15","73.3"
"hope+kahro+zahria","15","73.3"
"kahro+kku+smithen","22","72.7"
"maoja+shaman+zahria","18","72.2"
"hope+poom+shaman","18","72.2"
"dravain+hope+paleya","18","72.2"
"hyafrost+kahro+poom","14","71.4"
"hope+kahro+maoja","17","70.6"
"dravain+maoja+poom","17","70.6"
"dravain+paleya+poom","17","70.6"
"eva+hope+kahro","17","70.6"
"bakub+hyafrost+zahria","10","70"
"paleya+poom+shaman","20","70"
"bakub+kahro+poom","20","70"
"dravain+eva+hope","10","70"
"kahro+paleya+zahria","20","70"
"bakub+dravain+paleya","23","69.6"
"maoja+poom+yaura","23","69.6"
"dravain+maoja+smithen","23","69.6"
"bakub+paleya+smithen","13","69.2"
"kahro+kku+paleya","13","69.2"
"hope+hyafrost+paleya","13","69.2"
"dravain+kahro+zahria","13","69.2"
"hyafrost+kahro+kku","16","68.8"
"bakub+hyafrost+kahro","19","68.4"
"bakub+hyafrost+maoja","19","68.4"
"eva+poom+shaman","18","66.7"
"kku+paleya+shaman","15","66.7"
"dravain+shaman+yaura","12","66.7"
"dravain+hope+maoja","24","66.7"
"hyafrost+kahro+shaman","18","66.7"
"hope+hyafrost+poom","12","66.7"
"eva+paleya+shaman","15","66.7"
"bakub+maoja+zahria","12","66.7"
"eva+maoja+paleya","18","66.7"
"hope+kku+paleya","21","66.7"
"hope+hyafrost+kku","18","66.7"
"dravain+hyafrost+kahro","18","66.7"
"kahro+poom+zahria","15","66.7"
"hope+shaman+zahria","12","66.7"
"poom+shaman+yaura","18","66.7"
"kahro+maoja+smithen","23","65.2"
"dravain+hyafrost+maoja","17","64.7"
"hyafrost+kahro+yaura","17","64.7"
"bakub+hope+shaman","17","64.7"
"dravain+kku+shaman","17","64.7"
"kku+shaman+smithen","17","64.7"
"hyafrost+shaman+zahria","14","64.3"
"hyafrost+maoja+poom","14","64.3"
"dravain+maoja+paleya","25","64"
"dravain+maoja+shaman","25","64"
"bakub+eva+shaman","22","63.6"
"hope+paleya+smithen","19","63.2"
"hope+paleya+zahria","19","63.2"
"bakub+poom+yaura","19","63.2"
"maoja+paleya+shaman","19","63.2"
"kahro+maoja+poom","19","63.2"
"bakub+shaman+smithen","19","63.2"
"bakub+kahro+yaura","19","63.2"
"hope+hyafrost+zahria","19","63.2"
"hope+shaman+yaura","8","62.5"
"dravain+hyafrost+paleya","13","61.5"
