character,oldVsOld_before,oldVsOld_after,smartVsSmart_before,smartVsSmart_after,smartPilotVsOldOpp_before,smartPilotVsOldOpp_after,oldPilotVsSmartOpp_before,oldPilotVsSmartOpp_after,label_before,label_after
"Bahl","50","53.8","37.3","40.8","64.2","53.5","33.9","40.2","farms-bad-opponents/counterable","ok"
"Bakub","50","52.1","54.6","56.1","67.8","68.3","27.1","43.3","farms-bad-opponents/counterable","ok"
"Dravain","43.8","67.8","36","62.3","63.4","71.6","32.4","57.5","farms-bad-opponents/counterable","too-good-baseline"
"Hyafrost","56","47.8","54.3","39.4","61.1","50.9","47.1","36.5","farms-bad-opponents/counterable","underpowered"
"K'ku","41.2","43","47.1","52","61","63.9","30","31.8","farms-bad-opponents/counterable","farms-bad-opponents/counterable"
"Kahro","53.8","47.3","48.5","54.9","76.8","69.9","32.4","40.7","farms-bad-opponents/counterable","farms-bad-opponents/counterable"
"Lady Eva","57","57.5","49.6","50.6","74.3","62.4","39.1","51.3","farms-bad-opponents/counterable","farms-bad-opponents/counterable"
"Maoja","51.2","45.6","49.6","50.3","71.6","59.7","27.1","38.3","farms-bad-opponents/counterable","ok"
"Paleya","47","46","56.9","55.2","64.2","65.1","28.3","31.7","ok","ok"
"Poom","55.6","50.6","57.3","46","58.8","60.8","41.1","34.1","too-good-baseline","farms-bad-opponents/counterable"
"Smithen","49.2","53.3","47.9","51.9","57.6","63.4","33.3","34.5","ok","farms-bad-opponents/counterable"
"Yaura","45.2","33.9","61.6","40.2","70.8","45.4","30","27.7","optimized-too-strong","underpowered"
