key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","1404","49.1","8.83","0","0","0","8.83","0","866"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","1416","61","5.67","0","0","0","5.67","0","824"
"kahro:assassinate","Kahro","Assassinate","attack","2","1115","67.5","4.55","0","0","0","4.55","0","629"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","594","58.2","4.08","0.38","0","0","4.34","0","367"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","1167","60.6","3.01","0","1.69","0","4.1","0","616"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","487","53.6","4.04","0","0","0","4.04","0","190"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","2329","57","3.67","0","0","0","3.67","0","1299"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","2348","48.4","3.39","0","0","0","3.39","0","1299"
"bakub:toxin","Bakub","Mind Toxin","attack","1","702","61.8","3.31","0","0.01","0","3.31","0","367"
"kahro:needle","Kahro","Shadow Needle","attack","1","663","71.3","3.27","0","0","0","3.27","0","274"
"dravain:bash","Dravain","Shield Bash","armorStrike","2","964","38.6","3.04","0","0.01","0","3.05","0","527"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","4056","33.2","3.04","0","0.01","0","3.04","2.2","1628"
"poom:bodyguard","Poom","Revenge Body","attack","2","1454","63.9","2.98","0","0.01","0","2.99","0","490"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","1782","63.5","2.96","0","0.01","0","2.96","0","941"
"kku:break","K'ku","Glacier Break","attack","2","895","54.7","2.85","0","0","0","2.86","0","383"
"kku:slam","K'ku","Frost Slam","damageStatus","1","2503","56.4","2.28","0","0.76","0","2.77","0","995"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1851","49.9","0","0","4.19","0","2.72","0","730"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","1594","46.3","0","0","4.06","0","2.64","0","835"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","1594","46.9","0","0","3.67","0","2.39","0","1065"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","560","47.7","2.33","0","0.01","0","2.33","0","226"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","1080","60.1","1.8","0","0.65","0","2.23","0","612"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","1094","47.4","0","0","3.42","0","2.22","0","491"
"poom:bash","Poom","Bash","attack","1","2503","65.2","2.2","0","0.01","0","2.21","0","773"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","2077","57.6","0","0","3","0","1.95","0","1066"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","198","37.9","1.54","0.54","0.01","0","1.92","0","109"
"maoja:grip","Maoja","Corrosive Grip","attack","1","1671","46.1","1.67","0","0.01","0","1.68","0","651"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","651","45.9","0","0","2.34","0","1.52","0","331"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","467","37.7","1.41","0","0.01","0","1.42","0","258"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","150","64.7","0","0","2.09","0","1.36","0","59"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","16","68.8","0","0","1.94","0","1.26","0","6"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","2726","56.8","0","0","1.56","0","1.02","0","1834"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","1196","45.7","0","0","1.43","0","0.93","0","814"
"yaura:rain","Yaura","Red Rain","status","2","313","32.3","0","0","1","0","0.65","0","114"
"smithen:pin","Smithen","Frost Pin","whiteout","1","1090","58.6","0","0","0.93","0","0.61","0","583"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","1613","45.8","0","0","0.93","0","0.6","0","813"
"paleya:mesmer","Paleya","Mesmerize","status","1","1226","44.6","0","0","0.9","0","0.58","0","571"
"kahro:vanish","Kahro","Vanish","dodge","1","461","48.2","0","0","0","0","0","0","329"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","1513","24.8","0","0","0","0","0","3.8","635"
"dravain:protect","Dravain","Protect Ally","protect","2","1293","37.9","0","0","0","0","0","0","753"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","1192","31.7","0","0","0","0","0","0","468"
"eva:mist","Lady Eva","Mist Step","dodge","1","651","57.3","0","0","0","0","0","0","363"
"smithen:flash","Smithen","Whiteout Step","dodge","1","531","51.6","0","0","0","0","0","0","356"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","976","50.2","0","0","0","0","0","0","450"
"maoja:hands","Maoja","Poison Hands","utility","1","453","48.1","0","0","0","0","0","0","153"
"bakub:future","Bakub","False Future","dodge","1","368","41","0","0","0","0","0","0","261"
"kku:guard","K'ku","Ice Guard","selfCounter","1","1260","42.1","0","0","0","0","0","0","710"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","834","43.8","0","0","0","0","0","0","469"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","573","39.8","0","0","0","0","0","0","286"
