key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","931","47.6","9.24","0","0.01","0","9.24","0","536"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","1240","55.1","5.44","0","0","0","5.44","0","767"
"kahro:assassinate","Kahro","Assassinate","attack","2","748","56.7","4.65","0","0","0","4.65","0","457"
"yaura:price","Yaura","Blood Price","bleedPayoff","1","1341","58.8","4.37","0","0.01","0","4.38","0","587"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","612","54.7","4.1","0.37","0","0","4.36","0","401"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","1900","43.9","3.7","0","0.01","0","3.71","0","1018"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","1865","52.9","3.63","0","0.03","0","3.65","0","1036"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","342","49.1","3.47","0","0.01","0","3.48","0","152"
"yaura:rain","Yaura","Red Rain","selfAllStatus","2","515","58.3","0","0","5.09","0","3.31","1.6","228"
"bakub:toxin","Bakub","Mind Toxin","attack","1","548","65","3.28","0","0","0","3.28","0","237"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","835","55.8","2.11","0","1.78","0","3.26","0","486"
"kku:break","K'ku","Glacier Break","attack","2","631","56.6","3.07","0","0","0","3.07","0","274"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","1208","60.3","3.03","0","0.01","0","3.03","0","541"
"kku:slam","K'ku","Frost Slam","damageStatus","1","1603","57.1","2.53","0","0.73","0","3","0","623"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1486","62.7","0","0","4.23","0","2.75","0","542"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","1078","46.3","0","0","4.21","0","2.73","0","521"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","1319","52","0","0","3.7","0","2.41","0","813"
"kahro:needle","Kahro","Shadow Needle","attack","1","247","66","2.37","0","0","0","2.37","0","121"
"poom:bash","Poom","Bash","attack","1","1956","57.7","2.35","0","0.01","0","2.36","0","617"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","696","48.6","0","0","3.46","0","2.25","0","292"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","833","54.3","1.83","0","0.64","0","2.24","0","488"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","442","57.2","2.19","0","0.02","0","2.2","0","154"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","1146","56.1","2.04","0","0.01","0","2.05","0","673"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","1417","58.2","0","0","3","0","1.95","0","735"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","262","55.7","1.53","0.49","0.01","0","1.88","0","134"
"maoja:grip","Maoja","Corrosive Grip","attack","1","1209","60.2","1.71","0","0","0","1.71","0","440"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","760","39.2","0","0","2.44","0","1.59","0","389"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","945","54.7","0","0","2.45","0","1.59","0","567"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","106","67.9","0","0","2.21","0","1.43","0","48"
"poom:bodyguard","Poom","Revenge Body","attack","2","600","53","1.4","0","0.03","0","1.42","0","204"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","637","56.8","1.35","0","0.07","0","1.39","0","315"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","17","70.6","0","0","1.76","0","1.15","0","4"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","1880","48.7","0","0","1.58","0","1.03","0","1217"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","833","44.4","0","0","0.94","0","0.61","0","403"
"smithen:pin","Smithen","Frost Pin","whiteout","1","878","55.4","0","0","0.92","0","0.6","0","533"
"paleya:mesmer","Paleya","Mesmerize","status","1","707","37.8","0","0","0.91","0","0.59","0","346"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","497","35","0","0","0","0","0","0","306"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","470","42.3","0","0","0","0","0","0","249"
"kahro:vanish","Kahro","Vanish","dodge","1","378","40.5","0","0","0","0","0","0","294"
"dravain:protect","Dravain","Protect Ally","protect","1","2188","49.6","0","0","0","0","0","0","1096"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","1147","44","0","0","0","0","0","0","542"
"smithen:flash","Smithen","Whiteout Step","dodge","1","384","50.5","0","0","0","0","0","0","247"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","1508","38","0","0","0","0","0","3.4","817"
"eva:mist","Lady Eva","Mist Step","dodge","1","561","49","0","0","0","0","0","0","379"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","783","43.2","0","0","0","0","0","0","358"
"maoja:hands","Maoja","Poison Hands","utility","1","355","57.5","0","0","0","0","0","0","118"
"kku:guard","K'ku","Ice Guard","selfCounter","1","834","38.8","0","0","0","0","0","0","432"
"bakub:future","Bakub","False Future","dodge","1","224","52.7","0","0","0","0","0","0","144"
