type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9.24, used 931, win 47.6%"
"dead-ability","Bahl — Dark Proliferation","only 17 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.03, used 1880, win 48.7%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 833, win 44.4%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 878, win 55.4%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.59, used 707, win 37.8%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 497, win 35%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 470, win 42.3%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 378, win 40.5%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 2188, win 49.6%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 1147, win 44%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 384, win 50.5%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 1508, win 38%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 561, win 49%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 783, win 43.2%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 355, win 57.5%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 834, win 38.8%"
"ability-too-weak","Bakub — False Future","avg value 0, used 224, win 52.7%"
"matchup-dominant","maoja vs bakub","65.9% over 85 games"
"matchup-weak","bakub vs maoja","34.1% over 85 games"
