key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","577","45.8","9.26","0","0.01","0","9.27","0","377"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","785","54.4","5.75","0","0","0","5.75","0","451"
"kahro:assassinate","Kahro","Assassinate","attack","2","552","50","4.69","0","0","0","4.69","0","295"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","439","61.5","4.15","0.41","0","0","4.44","0","306"
"yaura:price","Yaura","Blood Price","bleedPayoff","1","942","60.8","4.41","0","0.01","0","4.42","0","447"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","1402","53.1","4.01","0","0.01","0","4.02","0","716"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","1348","51.9","3.74","0","0.02","0","3.75","0","729"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","291","57.7","3.37","0","0","0","3.37","0","128"
"yaura:rain","Yaura","Red Rain","selfAllStatus","2","354","60.7","0","0","5.16","0","3.36","1.1","169"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","607","59.1","2.1","0","1.75","0","3.24","0","345"
"bakub:toxin","Bakub","Mind Toxin","attack","1","436","65.6","3.15","0","0","0","3.15","0","174"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","825","59.9","3.07","0","0","0","3.07","0","418"
"kku:slam","K'ku","Frost Slam","damageStatus","1","1307","52","2.45","0","0.73","0","2.93","0","490"
"kku:break","K'ku","Glacier Break","attack","2","466","51.9","2.86","0","0.01","0","2.87","0","210"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1051","48.8","0","0","4.21","0","2.73","0","437"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","665","43.3","0","0","4.18","0","2.72","0","361"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","918","54.8","0","0","3.72","0","2.42","0","559"
"poom:bash","Poom","Bash","attack","1","1434","52.9","2.27","0","0","0","2.27","0","550"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","568","44.9","0","0","3.4","0","2.21","0","239"
"kahro:needle","Kahro","Shadow Needle","attack","1","196","55.1","2.2","0","0","0","2.2","0","71"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","322","42.2","2.17","0","0.03","0","2.19","0","135"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","567","52.4","1.72","0","0.62","0","2.12","0","291"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","802","59.1","2.06","0","0.01","0","2.07","0","478"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","1037","55.4","0","0","3","0","1.95","0","528"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","160","55.6","1.52","0.45","0.01","0","1.84","0","99"
"maoja:grip","Maoja","Corrosive Grip","attack","1","848","50.4","1.75","0","0","0","1.75","0","315"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","530","47.5","0","0","2.57","0","1.67","0","255"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","702","54.3","0","0","2.43","0","1.58","0","367"
"poom:bodyguard","Poom","Revenge Body","attack","2","458","55.9","1.45","0","0.04","0","1.48","0","179"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","86","60.5","0","0","2.21","0","1.44","0","39"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","442","50.5","1.28","0","0.03","0","1.3","0","222"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","10","60","0","0","2","0","1.3","0","2"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","1292","40.2","0","0","1.59","0","1.03","0","753"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","557","42.7","0","0","0.94","0","0.61","0","283"
"paleya:mesmer","Paleya","Mesmerize","status","1","497","46.7","0","0","0.93","0","0.6","0","199"
"smithen:pin","Smithen","Frost Pin","whiteout","1","539","52.3","0","0","0.91","0","0.59","0","291"
"kku:guard","K'ku","Ice Guard","selfCounter","1","610","40.5","0","0","0","0","0","0","310"
"maoja:hands","Maoja","Poison Hands","utility","1","236","50.4","0","0","0","0","0","0","78"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","535","48","0","0","0","0","0","0","264"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","736","52.2","0","0","0","0","0","0","354"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","1007","43.9","0","0","0","0","0","3.2","515"
"dravain:protect","Dravain","Protect Ally","protect","1","1398","44.4","0","0","0","0","0","0","758"
"kahro:vanish","Kahro","Vanish","dodge","1","224","36.6","0","0","0","0","0","0","165"
"bakub:future","Bakub","False Future","dodge","1","151","42.4","0","0","0","0","0","0","90"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","365","34.8","0","0","0","0","0","0","215"
"eva:mist","Lady Eva","Mist Step","dodge","1","400","55.8","0","0","0","0","0","0","256"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","319","36.1","0","0","0","0","0","0","193"
"smithen:flash","Smithen","Whiteout Step","dodge","1","236","45.8","0","0","0","0","0","0","146"
