type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 9.27, used 577, win 45.8%"
"dead-ability","Bahl — Dark Proliferation","only 10 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.03, used 1292, win 40.2%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 557, win 42.7%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.6, used 497, win 46.7%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.59, used 539, win 52.3%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 610, win 40.5%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 236, win 50.4%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 535, win 48%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 736, win 52.2%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 1007, win 43.9%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1398, win 44.4%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 224, win 36.6%"
"ability-too-weak","Bakub — False Future","avg value 0, used 151, win 42.4%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 365, win 34.8%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 400, win 55.8%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 319, win 36.1%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 236, win 45.8%"
"matchup-weak","hyafrost vs shaman","30% over 50 games"
"matchup-dominant","shaman vs hyafrost","70% over 50 games"
