key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","1385","56.7","8.88","0","0.01","0","8.89","0","747"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","1631","62.7","5.63","0","0","0","5.63","0","990"
"yaura:price","Yaura","Blood Price","bleedPayoff","1","1974","68.9","5.2","0","0.01","0","5.2","0","872"
"kahro:assassinate","Kahro","Assassinate","attack","2","1106","52.4","4.66","0","0","0","4.66","0","694"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","833","53.9","4.28","0.43","0","0","4.58","0","570"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","2309","50.6","4.01","0","0.01","0","4.02","0","1054"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","511","60.3","3.63","0","0.01","0","3.63","0","224"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","2825","50.6","3.57","0","0.02","0","3.58","0","1504"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","1210","52.1","2.09","0","1.77","0","3.24","0","691"
"yaura:rain","Yaura","Red Rain","selfAllStatus","2","706","66.3","0","0","4.99","0","3.24","0.8","294"
"bakub:toxin","Bakub","Mind Toxin","attack","1","751","64.6","3.19","0","0","0","3.19","0","328"
"kku:break","K'ku","Glacier Break","attack","2","854","53","3.04","0","0.02","0","3.05","0","359"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","1565","55.2","3.02","0","0.02","0","3.03","0","734"
"kku:slam","K'ku","Frost Slam","damageStatus","1","2298","54.5","2.39","0","0.74","0","2.87","0","821"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1945","61.7","0","0","4.23","0","2.75","0","735"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","1566","52","0","0","4.15","0","2.7","0","739"
"kahro:needle","Kahro","Shadow Needle","attack","1","343","63.3","2.42","0","0","0","2.42","0","135"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","1938","48.7","0","0","3.7","0","2.41","0","1253"
"poom:bash","Poom","Bash","attack","1","2840","55.7","2.28","0","0.02","0","2.29","0","1079"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","620","58.7","2.26","0","0.02","0","2.27","0","233"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","1024","44.2","0","0","3.46","0","2.25","0","440"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","1084","56.5","1.86","0","0.59","0","2.25","0","644"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","1528","56.9","2.09","0","0.01","0","2.09","0","890"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","2101","53.4","0","0","3","0","1.95","0","1082"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","264","47.3","1.53","0.48","0.01","0","1.88","0","135"
"maoja:grip","Maoja","Corrosive Grip","attack","1","1590","61.9","1.74","0","0.01","0","1.75","0","562"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","1351","51.1","0","0","2.46","0","1.6","0","767"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","852","48","1.39","0","0.02","0","1.4","0","468"
"poom:bodyguard","Poom","Revenge Body","attack","2","915","50.5","1.37","0","0.02","0","1.39","0","384"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","150","57.3","0","0","2.11","0","1.37","0","70"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","17","58.8","0","0","1.88","0","1.22","0","6"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","1","1766","49.9","0","0","1.83","0","1.19","0","806"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","2630","41.3","0","0","1.57","0","1.02","0","1797"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","1275","52.5","0","0","0.94","0","0.61","0","602"
"smithen:pin","Smithen","Frost Pin","whiteout","1","1136","62","0","0","0.93","0","0.6","0","645"
"paleya:mesmer","Paleya","Mesmerize","status","1","453","45.9","0","0","0.79","0","0.51","0","161"
"eva:mist","Lady Eva","Mist Step","dodge","1","788","45.8","0","0","0","0","0","0","510"
"dravain:protect","Dravain","Protect Ally","protect","1","2797","39.9","0","0","0","0","0","0","1545"
"kku:guard","K'ku","Ice Guard","selfCounter","1","1083","38","0","0","0","0","0","0","562"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","1155","47.1","0","0","0","0","0","0","537"
"smithen:flash","Smithen","Whiteout Step","dodge","1","472","51.3","0","0","0","0","0","0","303"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","539","41.9","0","0","0","0","0","0","278"
"maoja:hands","Maoja","Poison Hands","utility","1","455","55.6","0","0","0","0","0","0","159"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","741","46.3","0","0","0","0","0","0","374"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","1717","55.2","0","0","0","0","0","0","823"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","2068","47.9","0","0","0","0","0","3.2","1038"
"kahro:vanish","Kahro","Vanish","dodge","1","572","36.7","0","0","0","0","0","0","441"
"bakub:future","Bakub","False Future","dodge","1","350","37.1","0","0","0","0","0","0","241"
